Column 1,Column 2,Column 3,Column 4
RSM100H1 - Introduction to Management,"Introduction to management and its subdisciplines. Themes include business in a Canadian context, the nature of corporations, corporate governance, organizational behavior, operations, and strategy. Enrolment limited to students entering the University with an expressed interest in studying at Rotman Commerce.",,
MGT100H1 - Fundamentals of Management,"Introduction to management and its subdisciplines. Themes include business in a Canadian context, the nature of corporations, corporate governance, organizational behavior, operations, and strategy. Not open to Rotman Commerce students.",,
RSM210H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 4.0 credits. Further prerequisites may vary from year to year. Consult the course description on the  Rotman Commerce website for details.,
RSM211H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 4.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM212H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 4.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM213H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 4.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM219H1 - Introduction to Financial Accounting,Basic introduction to financial reporting and analysis. Emphasis is on decision-making and interpretation of financial statements and how they can be used to plan a firm’s overall business activities through the use of real-world companies. Coverage includes the use of accounting information to prepare a basic set of financial statements. Not eligible for CR/NCR option. Contact Rotman Commerce for details.|Note: This course is normally taken in first year.,,
RSM220H1 - Intermediate Financial Accounting I,"Foundations of financial reporting and analysis in Canada. Financial accounting topics are covered at an intermediate level, including both conceptual and technical aspects. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM219H1; Completion of the Rotman Commerce Guaranteed Admission requirements.,
RSM221H1 - Intermediate Financial Accounting II,Covers topics such as income statement and balance sheet topics with an emphasis on quality of earnings. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,RSM220H1,
RSM222H1 - Management Accounting I,"Covers the conceptual and analytical foundations of management accounting and the applications of cost accounting information. Costing and control concepts are analyzed to equip students with tools for establishing costing systems, making business decisions, and evaluating management performance. Materials are designed to help students understand strategic cost management principles. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM219H1; Completion of the Rotman Commerce Guaranteed Admission requirements.,
RSM225H1 - Legal Environment of Business I,"Introduces students to the Canadian legal system as it relates to business entities. The course focuses on general legal concepts, including sources of law and the court structure; business entity law (including corporate law), commercial law (contract) as well as the law of torts. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of the Rotman Commerce Guaranteed Admission requirements.,
RSM230H1 - Financial Markets,"Introduction to Canadian and international financial markets. This course provides an overview of the major financial institutions, financial markets, financial securities, and an introduction to valuation and trading of securities. Securities discussed include stocks and bonds, as well as some content on derivatives. Not eligible for CR/NCR option. Contact Rotman Commerce for details.|Note: This course is normally taken in first year.",,
RSM250H1 - Principles of Marketing,"Students receive an introduction to the basic concepts, theories, and methods of contemporary marketing. The course offers a comprehensive framework to develop successful marketing efforts and allows students to create a marketing plan. Specific topics examined: market research, consumer behaviour, segmentation, product policy, pricing, distribution, communications, sales, and direct marketing. Not eligible for CR/NCR option. Contact Rotman Commerce for details.|Note: This course is normally taken in first year.",,
RSM260H1 - Organizational Behaviour,"Theoretical ideas and practical applications concerning the behaviour of individuals and groups in organizations. We explore relevant topics for management: motivation, personality, perception, decision-making, groups, and negotiation. A fee of $10 will be charged to your student account for a simulation handbook. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of the Rotman Commerce Guaranteed Admission requirements.,
RSM270H1 - Operations Management,"Introduction to the management of business processes that convert inputs (labor, material, equipment) into outputs (goods and services) for internal and external markets. Topics include aggregate planning, inventory processes, supply chain management and service operations management. Presents modern quantitative and computing tools necessary for in-depth operational design and analysis. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of the Rotman Commerce Guaranteed Admission requirements.,
RSM295Y0 - Special Topics,The areas of concentration depend on the instructor teaching the course. (Offered only during the summer session through the Summer Abroad Program). Not eligible for CR/NCR option. Contact Rotman Commerce for details.,,
MGT295Y0 - Special Topics,The area of concentration and location depend on the instructor teaching the course. (Offered only during the Summer Session through the Summer Abroad Program). Contact Rotman Commerce for details.,,
RSM296Y0 - Special Topics,The areas of concentration depend on the instructor teaching the course. (Offered only during the Summer Session through the Summer Abroad Program). Not eligible for CR/NCR option. Contact Rotman Commerce for details.,,
MGT296Y0 - Special Topics,The area of concentration and location depend on the instructor teaching the course. (Offered only during the Summer Session through the Summer Abroad Program). Contact Rotman Commerce for details.,,
RSM297Y0 - Special Topics,The areas of concentration and location depend on the instructor teaching the course. (Offered only during the Summer Session through the Summer Abroad Program). Not eligible for CR/NCR option. Contact Rotman Commerce for details.,,
MGT297Y0 - Special Topics,The area of concentration and location depend on the instructor teaching the course. (Offered only during the Summer Session through the Summer Abroad Program). Contact Rotman Commerce for details.,,
RSM301H1 - Independent Study,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before enrolling. Enrolment is restricted to Rotman Commerce students. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,"9.0 credits, Cumulative GPA of at least 2.70",
MGT301H1 - Independent Study,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before enrolling. Enrolment is restricted to students not in a Rotman Commerce program. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,"9.0 credits, Cumulative GPA of at least 2.70",
RSM302H1 - Independent Study,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before enrolling. Enrolment is restricted to Rotman Commerce students. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,"9.0 credits, Cumulative GPA of at least 2.70",
MGT302H1 - Independent Study,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before enrolling. Enrolment is restricted to students not in a Rotman Commerce program. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,"9.0 credits, Cumulative GPA of at least 2.70",
RSM303Y1 - Independent Study,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before enrolling. Enrolment is restricted to Rotman Commerce students. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,"9.0 credits, Cumulative GPA of at least 2.70",
MGT303Y1 - Independent Study,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before enrolling. Enrolment is restricted to students not in a Rotman Commerce program. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,"9.0 credits, Cumulative GPA of at least 2.70",
RSM304Y1 - Independent Study,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before enrolling. Enrolment is restricted to Rotman Commerce students. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,"9.0 credits, Cumulative GPA of at least 2.70",
RSM310H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM311H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM312H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM313H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM314H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM315H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM316H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM317H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM318H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor.See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM319H1 - Special Topics in Management,Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website (www.rotmancommerce.utoronto.ca) for a full course description.,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,
RSM320H1 - Intermediate Financial Accounting III,"Covers broader areas in financial reporting, drawing upon regulatory documents and corporate communications. Topics include corporate reporting quality, employee future benefits, employee compensation disclosure and analysis, income tax accounting, narrative reporting. Emphasis on the context of financial reporting including an organization’s ‘tone at the top’ and the adoption of international standards. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM221H1,
RSM321H1 - Advanced Financial Accounting Topics,"This course covers accounting issues and practices relating to long-term investments, consolidations, foreign transactions and foreign investments. International accounting issues are also introduced. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM320H1,
RSM323H1 - Auditing I,This course introduces students to the concepts and theory underlying audit practice. Practical examples are used to help students develop skills in exercising professional judgment. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,RSM221H1,
RSM324H1 - Canadian Income Taxation I,"This course emphasises the fundamentals of the Canadian tax system.  Included are topics, such as, residence of corporations and individuals, effective tax rates for corporations and individuals, business income, integration, capital gains and losses, to name a few.    A key objective of this course is to assist students in learning to read, interpret and apply provisions of the Income Tax Act to practical problems and cases. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM220H1,
RSM325H1 - Legal Environment of Business II,"This course canvasses several areas of law that impact a business entity. Topics dealt with include agency law, employment law, the Personal Property Security Act and the rights of the secured creditor, bankruptcy law, relevant consumer protection legislation, intellectual property and other specific legal topics. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM225H1,
RSM326H1 - Data Analytics with Financial Accounting Information,Students will learn how to better understand and analyze accounting information through empirical analysis. The course will teach students how to extract information from rich accounting and finance datasets to help provide insights in a wide range of corporate business problems in both equity and debt markets. Different modeling approaches are used to analyze accounting data and disclosure information. Not eligible for CR/NCR.,"RSM219H1, ECO220Y1/ECO227Y1/(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1)",
RSM327H1 - Business Information Systems,"This course helps students use, develop, and manage computer-based systems. The first half covers the basic features of hardware, software, communications, and databases. The second half examines how users, businesses, the economy, and society are affected by the development of this technology. No previous background in computing is assumed. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",,
RSM328H1 - Financial Distress and Insolvency,"This course explores the reasons for financial distress and introduces options for managers, creditors, lenders, and directors of firms in financial distress. The use of financial ratios to predict solvency problems is covered as well as strategies both for restructuring companies having financial difficulties and for negotiation with creditors. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","RSM219H1, RSM222H1",
RSM329H1 - Accounting for Finance Professionals,"Finance professionals often rely heavily on accounting information obtained from financial statements and other sources of financial reporting. This course builds on the basic foundations provided in RSM219H1, Introduction to Financial Accounting, and provides an intermediate-level discussion of key concepts required to competently read, analyze, interpret, and evaluate financial statement information. Following topics are discussed from the perspectives of International Financial Reporting Standards (IFRS) and U.S. Generally Accepted Accounting Principles (US GAAP): revenue recognition, cash flows, inventories, long-lived assets, non-current liabilities, income taxes, and financial statement analysis. Not eligible for CR/NCR option.",RSM219H1,
RSM332H1 - Capital Market Theory,"An introduction to capital market theory explaining how financial securities are priced. Topics covered include the time and risk value of money, the use of discounted cash flow techniques, efficient set theory, asset pricing and market efficiency. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM230H1,
RSM333H1 - Introduction to Corporate Finance,"Application and development of the ideas in RSM332H1 to corporate finance problems such as determining the weighted average cost of capital, project evaluation, corporate financing decisions, working capital management and initial public offerings. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","RSM219H1, RSM332H1",
RSM336H1 - Investments,"This course provides an introduction to financial theories and analytical tools for making investment decisions and for understanding how prices are determined for stocks and bonds. The course covers a broad range of topics including asset allocation, technical analysis, fundamental analysis, anomalies, and bond portfolio management. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","RSM230H1, RSM332H1",
RSM338H1 - Applications of Machine Learning in Finance,"This course provides an overview of the basic tools in data analysis and machine learning, with emphasis on their applications in finance. Data analysis and machine learning play an important role in FinTech. Individual investors and financial institutions who are able to leverage these new tools and technology will have a significant advantage. This course discusses these new opportunities and challenges. It seeks to equip students with these highly coveted skills in the market.","ECO220Y1/ECO227Y1/(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1);  CSC108H1/CSC148H1",
RSM340H1 - The Opposable Mind: Approaches to Integrative Thinking,"Beginning with an exploration of integrative thinking and the tools associated with it, this course asks students to apply integrative thinking to complex problems that span traditional disciplines. Throughout the course, students will learn practical tools aimed at helping integrate between models, build new models and create new value. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",Completion of 9.0 credits.,
